modelName,chipPath,trueLabel,predLabel,confidence,prob_crazing,prob_inclusion,prob_patches,prob_pitted_surface,prob_rolled-in_scale,prob_scratches
vit_b_16,/Users/admin/surface-defect-train/results/chips/validation/crazing/crazing_241_bb00.png,crazing,crazing,0.9908825755119324,0.9908825755119324,0.00010259864939143881,0.0005379267386160791,0.008054789155721664,0.0003144726506434381,0.00010759610449895263
vit_b_16,/Users/admin/surface-defect-train/results/chips/validation/crazing/crazing_241_bb01.png,crazing,crazing,0.9933775067329407,0.9933775067329407,8.348340634256601e-05,0.00044810952385887504,0.005782792344689369,0.00022314379748422652,8.4972198237665e-05
vit_b_16,/Users/admin/surface-defect-train/results/chips/validation/crazing/crazing_241_bb02.png,crazing,crazing,0.989589273929596,0.989589273929596,0.00011203124449821189,0.0005384458345361054,0.009195511229336262,0.00046538779861293733,9.931052045430988e-05
vit_b_16,/Users/admin/surface-defect-train/results/chips/validation/crazing/crazing_242_bb00.png,crazing,crazing,0.9943512678146362,0.9943512678146362,7.76256711105816e-05,0.00038222887087613344,0.004647762980312109,0.00036555793485604227,0.00017549878975842148
vit_b_16,/Users/admin/surface-defect-train/results/chips/validation/crazing/crazing_242_bb01.png,crazing,crazing,0.9811245203018188,0.9811245203018188,0.00010665352601790801,0.0006102910847403109,0.017298374325037003,0.0006763115525245667,0.00018393048958387226
vit_b_16,/Users/admin/surface-defect-train/results/chips/validation/crazing/crazing_242_bb02.png,crazing,crazing,0.9937880635261536,0.9937880635261536,7.836621080059558e-05,0.00037384251481853426,0.005217993166297674,0.00040916987927630544,0.00013244499859865755
vit_b_16,/Users/admin/surface-defect-train/results/chips/validation/crazing/crazing_243_bb00.png,crazing,crazing,0.9927403330802917,0.9927403330802917,0.00011758282198570669,0.000653877155855298,0.006063824985176325,0.00033897714456543326,8.544109005015343e-05
vit_b_16,/Users/admin/surface-defect-train/results/chips/validation/crazing/crazing_243_bb01.png,crazing,crazing,0.9920122027397156,0.9920122027397156,3.535313589964062e-05,0.00017715941066853702,0.006262487731873989,0.0010896732565015554,0.00042320077773183584
vit_b_16,/Users/admin/surface-defect-train/results/chips/validation/crazing/crazing_243_bb02.png,crazing,crazing,0.9873993396759033,0.9873993396759033,6.138828757684678e-05,0.00014015889610163867,0.009014617651700974,0.003194556338712573,0.00018985991482622921
vit_b_16,/Users/admin/surface-defect-train/results/chips/validation/crazing/crazing_243_bb03.png,crazing,crazing,0.9932717680931091,0.9932717680931091,9.509834490017965e-05,0.0003668625431600958,0.005989577621221542,0.00021264716633595526,6.40470752841793e-05
vit_b_16,/Users/admin/surface-defect-train/results/chips/validation/crazing/crazing_244_bb00.png,crazing,crazing,0.9968826770782471,0.9968826770782471,4.348599395598285e-05,0.0004353166150394827,0.0023403263185173273,0.00017648852372076362,0.00012170969421276823
vit_b_16,/Users/admin/surface-defect-train/results/chips/validation/crazing/crazing_244_bb01.png,crazing,crazing,0.9910376071929932,0.9910376071929932,6.877703708596528e-05,0.0004251464270055294,0.008173265494406223,0.00021262947120703757,8.247108053183183e-05
vit_b_16,/Users/admin/surface-defect-train/results/chips/validation/crazing/crazing_244_bb02.png,crazing,crazing,0.9962742328643799,0.9962742328643799,6.266582204261795e-05,0.00042570920777507126,0.002952849492430687,0.00016059839981608093,0.00012401102867443115
vit_b_16,/Users/admin/surface-defect-train/results/chips/validation/crazing/crazing_245_bb00.png,crazing,crazing,0.9952802658081055,0.9952802658081055,0.0001475525787100196,0.0018120378954336047,0.0023321076296269894,0.00031602499075233936,0.00011197537241969258
vit_b_16,/Users/admin/surface-defect-train/results/chips/validation/crazing/crazing_245_bb01.png,crazing,crazing,0.9870736598968506,0.9870736598968506,0.0002130629582097754,0.009169118478894234,0.0025529973208904266,0.0004029340052511543,0.0005883145495317876
vit_b_16,/Users/admin/surface-defect-train/results/chips/validation/crazing/crazing_246_bb00.png,crazing,crazing,0.9928998947143555,0.9928998947143555,0.0001672045764280483,0.0006406004540622234,0.006038073915988207,0.00019577413331717253,5.8541827456792817e-05
vit_b_16,/Users/admin/surface-defect-train/results/chips/validation/crazing/crazing_246_bb01.png,crazing,crazing,0.9943742752075195,0.9943742752075195,9.151340054813772e-05,0.000663253478705883,0.004636651836335659,0.0001592865155544132,7.501922664232552e-05
vit_b_16,/Users/admin/surface-defect-train/results/chips/validation/crazing/crazing_246_bb02.png,crazing,crazing,0.9946876764297485,0.9946876764297485,6.213611777639017e-05,0.0003171882126480341,0.0046319784596562386,0.0001788855588529259,0.00012207476538605988
vit_b_16,/Users/admin/surface-defect-train/results/chips/validation/crazing/crazing_246_bb03.png,crazing,crazing,0.9624462127685547,0.9624462127685547,0.00018810940673574805,0.0009452409576624632,0.03566819801926613,0.0005199075676500797,0.00023236830020323396
vit_b_16,/Users/admin/surface-defect-train/results/chips/validation/crazing/crazing_247_bb00.png,crazing,crazing,0.9900998473167419,0.9900998473167419,0.00012668449198827147,0.0005069849430583417,0.008764314465224743,0.00041394183062948287,8.830097067402676e-05
vit_b_16,/Users/admin/surface-defect-train/results/chips/validation/crazing/crazing_247_bb01.png,crazing,crazing,0.9930602312088013,0.9930602312088013,0.00015422604337800294,0.001013721339404583,0.005434076767414808,0.00023536293883807957,0.00010244952864013612
vit_b_16,/Users/admin/surface-defect-train/results/chips/validation/crazing/crazing_247_bb02.png,crazing,crazing,0.9865294694900513,0.9865294694900513,8.798069757176563e-05,0.0005355280009098351,0.012216303497552872,0.0004958585486747324,0.00013488462718669325
vit_b_16,/Users/admin/surface-defect-train/results/chips/validation/crazing/crazing_248_bb00.png,crazing,crazing,0.992363452911377,0.992363452911377,7.588517473777756e-05,0.0003366395249031484,0.006690572015941143,0.0004201636475045234,0.0001131979443016462
vit_b_16,/Users/admin/surface-defect-train/results/chips/validation/crazing/crazing_248_bb01.png,crazing,crazing,0.9977008700370789,0.9977008700370789,3.8318303268169984e-05,0.0003820021520368755,0.0017001285450533032,9.733704064274207e-05,8.133659139275551e-05
